potential_total_value_of_award,binned_potential_value,Last Contract Modification/Ammendment,recipient_state_name,extent_competed_code,product_or_service_code,award_type_code,program_activities_funding_this_award,woman_owned_business,minority_owned_business,other_minority_owned_business,contracting_officers_determination_of_business_size_code,number_of_offers_imputed
181511762.8,High,3,GEORGIA,D,F108,,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,4
13685.58,Low,1,COLORADO,D,F099,C,00C7: SUPERFUND: ENFORCEMENT,f,f,f,S,1
40469.88,Low,0,VIRGINIA,A,7A21,C,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,S,9
320000000,Med,5,PENNSYLVANIA,D,F108,,0000: UNKNOWN,f,t,f,S,15
596595.74,High,1,VIRGINIA,A,B516,C,00D4: SURFACE WATER PROTECTION,f,f,f,O,1
16612.5,Low,2,MASSACHUSETTS,G,7A21,B,00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,f,f,f,O,1
200000,Low,0,MISSOURI,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,3
18960,Low,0,MASSACHUSETTS,D,6830,C,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;00D4: SURFACE WATER PROTECTION",f,f,f,S,1
1000000,Med,0,MASSACHUSETTS,,F108,,,f,f,f,O,1
304708,Med,0,CALIFORNIA,A,6640,C,0011: CATEGORICAL GRANT:  HAZARDOUS WASTE FINANCIAL ASSISTANCE;00D2: SUPERFUND:  REMEDIAL,f,f,f,S,2
89992.58,Low,4,DISTRICT OF COLUMBIA,A,C212,C,00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,f,f,f,O,1
230000,Low,1,,G,7A21,B,0084: HUMAN HEALTH RISK ASSESSMENT;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,f,f,f,O,1
763337,Med,4,OHIO,D,R425,C,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY",t,t,f,S,1
100000,Low,1,WASHINGTON,,Z1HZ,,00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,f,f,f,S,1
150495,Low,0,MASSACHUSETTS,A,F999,C,00D2: SUPERFUND:  REMEDIAL;00E4: ALTERNATIVE DISPUTE RESOLUTION,f,f,f,O,1
0,Low,2,MICHIGAN,F,AH51,C,00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,f,f,f,O,1
370144.24,Med,7,VIRGINIA,A,B504,C,0088: MARINE POLLUTION;00D4: SURFACE WATER PROTECTION,f,f,f,O,1
21150,Low,0,MASSACHUSETTS,F,6640,B,00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,f,f,f,S,1
1175606.25,Med,19,VIRGINIA,B,S201,D,0000: UNKNOWN;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY;1107: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;1108: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;1109: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,f,t,f,S,1
25000,Low,1,DISTRICT OF COLUMBIA,C,R499,C,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,O,1
129614.82,Low,1,VIRGINIA,A,R425,C,0061: FEDERAL VEHICLE AND FUELS STANDARDS AND CERTIFICATION,f,f,f,O,1
100000,Low,0,MISSOURI,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,1
2915784,Med,3,MISSOURI,G,R422,B,00J1: PESTICIDES: PROTECT HUMAN HEALTH FROM PESTICIDE RISK;00J2: PESTICIDES: PROTECT THE ENVIRONMENT FROM PESTICIDE RISK;00J3: PESTICIDES: REALIZE THE VALUE OF PESTICIDE AVAILABILITY,f,f,f,O,1
603135,Med,0,ALABAMA,D,R616,C,"0084: HUMAN HEALTH RISK ASSESSMENT;00K6: RESEARCH: AIR, CLIMATE AND ENERGY",f,t,f,S,3
1450336.34,Med,8,MARYLAND,D,C214,C,0000: UNKNOWN;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;00D2: SUPERFUND:  REMEDIAL,f,f,f,S,1
3349000.34,Med,9,VIRGINIA,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S,1
38538.03,Low,2,COLORADO,D,R425,C,00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,t,f,f,S,1
1591268,Med,1,MICHIGAN,A,6640,D,0061: FEDERAL VEHICLE AND FUELS STANDARDS AND CERTIFICATION,f,f,f,O,5
465443,Med,0,MASSACHUSETTS,A,R425,C,0003: CATEGORICAL GRANT:  PUBLIC WATER SYSTEM SUPERVISION (PWSS),f,f,f,O,1
95582,Low,2,COLORADO,D,R425,C,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,t,f,f,S,1
3022242,Med,16,FLORIDA,A,R612,C,0000: UNKNOWN;00F8: IT / DATA MANAGEMENT;0608: IT / DATA MANAGEMENT,f,f,f,O,2
642933.6,High,0,VIRGINIA,A,DF01,A,00J3: PESTICIDES: REALIZE THE VALUE OF PESTICIDE AVAILABILITY,f,t,f,S,1
681500,Med,2,PENNSYLVANIA,A,DF01,C,0008: CATEGORICAL GRANT:  UNDERGROUND INJECTION CONTROL  (UIC),t,t,f,S,1
137980.8,Low,1,MISSOURI,A,R429,C,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL",f,f,f,O,1
27000000,Med,2,CALIFORNIA,A,R499,,0081: INFRASTRUCTURE ASSISTANCE:  DRINKING WATER SRF,f,f,f,S,13
414588,High,1,MASSACHUSETTS,A,R425,C,0089: NATIONAL ESTUARY PROGRAM / COASTAL WATERWAYS;00D4: SURFACE WATER PROTECTION,f,f,f,O,1
0,Low,1,VIRGINIA,D,R425,C,0099: RCRA: CORRECTIVE ACTION,f,f,f,S,3
13812541,Med,5,CALIFORNIA,A,R499,,3081: INFRASTRUCTURE ASSISTANCE:  DRINKING WATER SRF,f,f,f,S,8
116950,Low,0,,G,B550,B,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY",f,f,f,O,1
25242.47,Low,0,ARIZONA,A,6640,C,0061: FEDERAL VEHICLE AND FUELS STANDARDS AND CERTIFICATION,t,f,f,S,2
1689129.36,Med,12,DISTRICT OF COLUMBIA,C,R424,C,0000: UNKNOWN;00C7: SUPERFUND: ENFORCEMENT;00C7: SUPERFUND:  ENFORCEMENT,f,f,f,S,1
113837.37,Low,0,OHIO,D,F108,C,"0091: OIL SPILL: PREVENTION, PREPAREDNESS AND RESPONSE",f,t,f,S,1
25578.14,Low,14,VIRGINIA,A,R499,C,0000: UNKNOWN;0088: MARINE POLLUTION;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,f,f,f,O,1
5915251.5,Med,64,VIRGINIA,D,M1GZ,,"0000: UNKNOWN;0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;0091: OIL SPILL: PREVENTION, PREPAREDNESS AND RESPONSE;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;0306: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL",f,t,f,S,5
5280,Low,1,OHIO,A,R702,C,00C7: SUPERFUND: ENFORCEMENT,f,f,f,O,1
14076.25,Low,0,ILLINOIS,F,6640,B,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,O,1
115000,Low,3,MASSACHUSETTS,A,F999,A,"00E5: CENTRAL PLANNING, BUDGETING, AND FINANCE",f,f,f,O,1
422816,Med,3,MASSACHUSETTS,A,R499,C,00A1: RCRA:  WASTE MANAGEMENT,f,f,f,O,2
5776500000,Med,3,NORTH CAROLINA,A,F115,,,f,f,f,O,13
6951878,High,11,TENNESSEE,A,R499,C,"0061: FEDERAL VEHICLE AND FUELS STANDARDS AND CERTIFICATION;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES",f,f,f,O,1
83362.21,Low,0,CALIFORNIA,A,B510,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O,1
65888.11,Low,4,COLORADO,D,F099,C,00C7: SUPERFUND: ENFORCEMENT,f,f,f,S,1
342748,Med,6,TENNESSEE,A,R499,C,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY",f,f,f,O,1
408251,Med,6,VIRGINIA,A,C214,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
100000000,Med,0,MARYLAND,A,F999,,00D6: TOXIC SUBSTANCES:  CHEMICAL RISK REVIEW AND REDUCTION,f,f,f,O,4
180000,Low,0,NORTH CAROLINA,G,R499,B,0059: FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT,f,t,f,O,1
1096120,Med,0,OHIO,D,R425,C,"0091: OIL SPILL: PREVENTION, PREPAREDNESS AND RESPONSE;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",t,t,f,S,1
520991.01,Med,6,OHIO,D,F108,C,0000: UNKNOWN;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,2
530523,Med,5,VIRGINIA,A,C214,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
634158,Med,9,TENNESSEE,A,R499,C,"0046: CLIMATE PROTECTION PROGRAM;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY",f,f,f,O,1
989210,Med,7,MASSACHUSETTS,A,R425,C,00D4: SURFACE WATER PROTECTION,f,f,f,O,1
110583,Low,6,FLORIDA,G,J059,B,0000: UNKNOWN;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,f,f,f,O,1
117058.74,Low,0,GEORGIA,A,R429,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
52900,Low,2,MICHIGAN,F,6620,B,00G4: REGIONAL SCIENCE AND TECHNOLOGY,f,f,f,O,4
2240877.48,Med,4,DELAWARE,A,J066,,,f,f,f,O,1
525426,Med,10,MASSACHUSETTS,A,R499,C,0053: DRINKING WATER PROGRAMS,f,f,f,O,1
617628.76,Med,7,VIRGINIA,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S,4
45687.12,Low,2,OHIO,D,C1DB,C,00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,f,t,f,S,1
4000,Low,1,ILLINOIS,F,DA10,B,00F8: IT / DATA MANAGEMENT;00J7: GREAT LAKES RESTORATION,f,f,f,S,1
3080000,Med,1,MISSOURI,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,1
1983308.32,High,0,VIRGINIA,A,C219,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S,1
99950,Low,1,OHIO,D,AJ11,D,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,S,185
10200,Low,0,CALIFORNIA,F,R499,B,"0090: NEPA IMPLEMENTATION;00E5: CENTRAL PLANNING, BUDGETING, AND FINANCE;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00F8: IT / DATA MANAGEMENT",t,f,f,O,2
1313529.31,Med,3,MARYLAND,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S,1
469830.28,Med,8,VIRGINIA,A,R699,C,0000: UNKNOWN;0099: RCRA:  CORRECTIVE ACTION;0099: RCRA: CORRECTIVE ACTION;00A1: RCRA:  WASTE MANAGEMENT,t,t,f,S,1
85110.33,Low,11,ILLINOIS,C,D399,B,"0000: UNKNOWN;0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00F8: IT / DATA MANAGEMENT;00J7: GREAT LAKES RESTORATION;0306: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;0402: SUPERFUND:  REMEDIAL;0608: IT / DATA MANAGEMENT;1007: GREAT LAKES RESTORATION",f,f,f,O,1
23013.36,Low,1,MASSACHUSETTS,G,6640,B,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O,1
82862.85,Low,5,MARYLAND,D,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S,5
221240,Low,0,VIRGINIA,A,B528,C,00D4: SURFACE WATER PROTECTION,f,f,f,O,1
238509,Low,3,OHIO,D,R425,C,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY",t,t,f,S,1
2630625.86,Med,8,WASHINGTON,A,R408,C,"0050: COMPLIANCE MONITORING;0053: DRINKING WATER PROGRAMS;0059: FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT;00A1: RCRA:  WASTE MANAGEMENT;00E5: CENTRAL PLANNING, BUDGETING, AND FINANCE;00F1: EXCHANGE NETWORK;00F8: IT / DATA MANAGEMENT;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY",f,f,f,S,2
21600,Low,3,MASSACHUSETTS,G,D313,B,00J3: PESTICIDES: REALIZE THE VALUE OF PESTICIDE AVAILABILITY,f,f,f,O,1
9934960.16,Med,11,VIRGINIA,A,F115,A,"0059: FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT;0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;0097: RADIATION:  PROTECTION;00H5: REDUCE RISKS FROM INDOOR AIR",f,f,f,S,1
135496.87,Low,10,FLORIDA,D,C1AA,C,00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,f,f,f,S,2
450000000,Med,0,ILLINOIS,A,C219,,00D2: SUPERFUND:  REMEDIAL,f,f,f,O,4
66906,Low,0,MINNESOTA,F,6640,B,0061: FEDERAL VEHICLE AND FUELS STANDARDS AND CERTIFICATION,f,f,f,O,1
295997.45,Med,4,WISCONSIN,D,F108,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S,4
15740,Low,0,KANSAS,G,U005,B,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES,f,f,f,O,1
1200000,Med,0,MISSOURI,D,F999,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,1
365519.26,Med,5,MASSACHUSETTS,A,R499,C,0011: CATEGORICAL GRANT:  HAZARDOUS WASTE FINANCIAL ASSISTANCE;00A1: RCRA:  WASTE MANAGEMENT,f,f,f,O,1
45567,Low,7,NEW JERSEY,C,J066,B,0000: UNKNOWN;0044: CIVIL ENFORCEMENT;0050: COMPLIANCE MONITORING;0052: CRIMINAL ENFORCEMENT;0099: RCRA: CORRECTIVE ACTION;00A1: RCRA:  WASTE MANAGEMENT;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,1
275000000,Med,6,OHIO,D,F108,,0000: UNKNOWN,f,f,f,S,20
30850,Low,6,DISTRICT OF COLUMBIA,F,R418,B,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;1107: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES,f,f,f,S,3
1494914.43,Med,0,MISSOURI,B,F108,C,00D2: SUPERFUND:  REMEDIAL,t,f,f,S,1
4700000,Med,8,MISSOURI,A,AJ33,,0000: UNKNOWN,f,f,f,O,1
39839.98,Low,0,VIRGINIA,F,6640,B,00D4: SURFACE WATER PROTECTION,f,f,f,S,14
96293,Low,0,OHIO,D,R425,C,00D2: SUPERFUND:  REMEDIAL;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,t,t,f,S,1
55400,Low,0,OHIO,G,6630,B,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,1
61594.88,Low,0,CALIFORNIA,A,7B22,A,0052: CRIMINAL ENFORCEMENT,t,t,f,S,1
19156889.76,Med,139,MASSACHUSETTS,A,F999,D,0000: UNKNOWN;0099: RCRA: CORRECTIVE ACTION;00A1: RCRA:  WASTE MANAGEMENT;00A2: RCRA:  WASTE MINIMIZATION & RECYCLING;00D2: SUPERFUND:  REMEDIAL;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;0101: RCRA:  WASTE MANAGEMENT;0102: RCRA:  WASTE MINIMIZATION & RECYCLING;0307: SUPERFUND:  ENFORCEMENT;0402: SUPERFUND:  REMEDIAL;1108: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,f,f,f,O,1
41373.68,Low,0,OHIO,A,R702,C,00C7: SUPERFUND: ENFORCEMENT,f,f,f,O,1
117058.74,Low,0,GEORGIA,A,R429,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
820002,Med,7,ILLINOIS,A,R429,C,"0091: OIL SPILL: PREVENTION, PREPAREDNESS AND RESPONSE;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL",f,f,f,O,1
320000000,Med,5,NEW HAMPSHIRE,D,F108,,0000: UNKNOWN;00D2: SUPERFUND:  REMEDIAL,f,t,f,S,15
727516.69,High,9,CALIFORNIA,G,7110,D,"00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,t,f,S,1
45490,Low,4,OKLAHOMA,G,8120,A,0062: FORENSICS SUPPORT,f,f,f,S,1
281010.12,Med,3,PENNSYLVANIA,A,R429,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O,1
1219685,Med,14,TENNESSEE,A,R499,C,0000: UNKNOWN;0099: RCRA:  CORRECTIVE ACTION;0099: RCRA: CORRECTIVE ACTION;00A1: RCRA:  WASTE MANAGEMENT;1006: LUST PREVENTION,f,f,f,S,1
138395.46,Low,1,VIRGINIA,C,F999,C,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY",f,f,f,O,1
2825910.76,Med,24,INDIANA,G,R499,D,"0000: UNKNOWN;0045: CLEAN AIR ALLOWANCE TRADING PROGRAMS;0046: CLIMATE PROTECTION PROGRAM;0053: DRINKING WATER PROGRAMS;0088: MARINE POLLUTION;0090: NEPA IMPLEMENTATION;0095: POLLUTION PREVENTION PROGRAM;0099: RCRA: CORRECTIVE ACTION;00A2: RCRA:  WASTE MINIMIZATION & RECYCLING;00C8: SUPERFUND:  EPA EMERGENCY PREPAREDNESS;00C9: SUPERFUND:  FEDERAL FACILITIES;00D2: SUPERFUND:  REMEDIAL;00E1: US MEXICO BORDER;00E8: CONGRESSIONAL, INTERGOVERNMENTAL, EXTERNAL RELATIONS;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00F5: HUMAN RESOURCES MANAGEMENT;00F8: IT / DATA MANAGEMENT;00F9: LEGAL ADVICE: ENVIRONMENTAL PROGRAM;00G7: FINANCIAL ASSISTANCE GRANTS / IAG MANAGEMENT;00H2: SUPERFUND: FEDERAL FACILITIES ENFORCEMENT;00J2: PESTICIDES: PROTECT THE ENVIRONMENT FROM PESTICIDE RISK;0101: RCRA:  WASTE MANAGEMENT;0102: RCRA:  WASTE MINIMIZATION & RECYCLING;0303: STATE AND LOCAL PREVENTION AND PREPAREDNESS;0404: SURFACE WATER PROTECTION;0409: TRIBAL - CAPACITY BUILDING;0501: US MEXICO BORDER;0502: WETLANDS;0602: FACILITIES INFRASTRUCTURE AND OPERATIONS;0605: HUMAN RESOURCES MANAGEMENT;0608: IT / DATA MANAGEMENT;1001: PESTICIDES: PROTECT HUMAN HEALTH FROM PESTICIDE RISK;3043: BROWNFIELDS;3044: CIVIL ENFORCEMENT;3052: CRIMINAL ENFORCEMENT;3053: DRINKING WATER PROGRAMS;3059: FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT;3088: MARINE POLLUTION;3089: NATIONAL ESTUARY PROGRAM / COASTAL WATERWAYS;3090: NEPA IMPLEMENTATION;3097: RADIATION:  PROTECTION;3099: RCRA:  CORRECTIVE ACTION",f,t,f,S,1
4575004.85,Med,10,OHIO,A,7690,C,,f,f,f,O,2
413998,High,0,PENNSYLVANIA,A,2310,C,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL",f,f,f,S,6
822000,Med,2,MASSACHUSETTS,A,R499,C,0053: DRINKING WATER PROGRAMS,f,f,f,O,1
422047,Med,8,MASSACHUSETTS,A,F999,C,0000: UNKNOWN;0068: GEOGRAPHIC PROGRAM: OTHER,f,f,f,O,1
41839.86,Low,4,MICHIGAN,D,C1DB,C,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY",t,f,f,S,1
111441.22,Low,6,NEW JERSEY,A,D399,C,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;00F8: IT / DATA MANAGEMENT",f,f,f,O,2
1575355,Med,9,OHIO,D,R425,C,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,t,t,f,S,1
504803.8,Med,5,NORTH CAROLINA,A,F101,A,0046: CLIMATE PROTECTION PROGRAM;0058: FEDERAL STATIONARY SOURCE REGULATIONS,f,f,f,O,1
51747,Low,1,PENNSYLVANIA,A,R429,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O,1
299785,Med,0,OREGON,A,1940,C,00D2: SUPERFUND:  REMEDIAL;00G4: REGIONAL SCIENCE AND TECHNOLOGY,f,f,f,S,1
1034716.15,Med,8,VIRGINIA,A,B516,C,0042: BEACH / FISH PROGRAMS;00D4: SURFACE WATER PROTECTION;00J7: GREAT LAKES RESTORATION,f,f,f,O,1
59211.4,Low,10,OHIO,A,R612,C,00C7: SUPERFUND: ENFORCEMENT;0307: SUPERFUND:  ENFORCEMENT,f,f,f,O,3
2038885.31,Med,17,MARYLAND,D,B510,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S,5
13127.4,Low,6,PENNSYLVANIA,F,W046,B,0000: UNKNOWN;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;0602: FACILITIES INFRASTRUCTURE AND OPERATIONS,f,f,f,S,5
499412.74,Med,5,OHIO,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,2
650652.42,Med,6,VIRGINIA,D,F999,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S,2
487326.94,Med,11,VIRGINIA,A,R499,C,"0000: UNKNOWN;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY",f,f,f,O,1
3381518,Med,1,TEXAS,D,B510,C,00J1: PESTICIDES: PROTECT HUMAN HEALTH FROM PESTICIDE RISK;00J2: PESTICIDES: PROTECT THE ENVIRONMENT FROM PESTICIDE RISK,f,f,f,S,1
182242,Low,11,PENNSYLVANIA,A,R499,C,0017: CATEGORICAL GRANT:  TRIBAL AIR QUALITY MANAGEMENT;0045: CLEAN AIR ALLOWANCE TRADING PROGRAMS,f,f,f,O,1
380116.53,Med,8,MASSACHUSETTS,A,R425,C,"0000: UNKNOWN;0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY",f,f,f,S,3
874870,Med,10,PENNSYLVANIA,A,R429,C,0000: UNKNOWN;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O,1
1889911,Med,8,MARYLAND,A,R499,C,0046: CLIMATE PROTECTION PROGRAM;00C4: STRATOSPHERIC OZONE: DOMESTIC PROGRAMS,f,f,f,O,3
836869.99,Med,8,MARYLAND,D,C211,C,0000: UNKNOWN;00D2: SUPERFUND:  REMEDIAL;0402: SUPERFUND:  REMEDIAL,f,f,f,S,1
1838115.88,Med,16,DISTRICT OF COLUMBIA,C,R424,,0000: UNKNOWN,f,f,f,S,1
1751349.67,Med,10,MASSACHUSETTS,A,F999,C,00A1: RCRA:  WASTE MANAGEMENT,f,f,f,O,1
72556.4,Low,2,COLORADO,D,F099,C,00C7: SUPERFUND: ENFORCEMENT,f,f,f,S,1
10934462.29,Med,3,MARYLAND,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S,1
154932.36,Low,1,VIRGINIA,A,F115,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,1
10354.75,Low,1,WISCONSIN,F,6640,B,00D2: SUPERFUND:  REMEDIAL,f,f,f,O,3
45164.45,Low,1,OHIO,D,F108,C,"0091: OIL SPILL: PREVENTION, PREPAREDNESS AND RESPONSE",f,f,f,S,1
330263.48,Med,4,MISSOURI,A,R429,C,00C3: STATE AND LOCAL PREVENTION AND PREPAREDNESS;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,f,f,f,O,1
19154.65,Low,1,CALIFORNIA,D,7A21,C,"00E5: CENTRAL PLANNING, BUDGETING, AND FINANCE",f,t,f,S,9
9712638.99,Med,0,COLORADO,A,C219,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
16700000,High,8,VIRGINIA,D,F115,,00D4: SURFACE WATER PROTECTION,f,f,f,S,21
144332,Low,4,OHIO,D,R425,C,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES",t,t,f,S,1
81412.96,Low,2,VIRGINIA,A,R431,A,00F5: HUMAN RESOURCES MANAGEMENT,f,t,f,S,1
732675.07,Med,0,COLORADO,A,C219,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
261424.82,Med,4,COLORADO,D,R425,C,0099: RCRA: CORRECTIVE ACTION;00A1: RCRA:  WASTE MANAGEMENT,f,f,f,S,2
70188.23,Low,0,OHIO,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,t,f,S,1
